Territorio,tipo_zona,mock_value,color
La Rivera,Urbano central,31,#FECC5C
Las Brisas,Rural,79,#F03B20
Vista Hermosa,Rural,51,#FD8D3C
San Rafael,Urbano central,14,#FFFFB2
Santa Lucía,Rural,67,#FD8D3C
La Arboleda,Periurbano,42,#FECC5C
Santa Elena,Periurbano,50,#FD8D3C
Villa Norte,Periurbano,43,#FD8D3C
Santa Rosa,Periurbano,14,#FFFFB2
San Isidro,Rural,25,#FFFFB2
Villa Esperanza,Rural,90,#BD0026
El Porvenir,Rural,91,#BD0026
Bosques del Valle,Periurbano,69,#F03B20
El Edén,Periurbano,91,#BD0026
Las Palmas,Periurbano,57,#FD8D3C
Colinas del Valle,Rural,92,#BD0026
Nueva Esperanza,Periurbano,9,#FFFFB2
Nueva Vida,Periurbano,93,#BD0026
Los Arrayanes,Rural,99,#BD0026
La Cañada,Rural,72,#F03B20
La Esperanza,Urbano central,26,#FECC5C
El Mirador,Rural,7,#FFFFB2
La Alameda,Rural,42,#FECC5C
Santa Ana,Rural,9,#FFFFB2
Villa Sur,Rural,83,#BD0026
El Carmen,Periurbano,36,#FECC5C
Altos del Sol,Periurbano,78,#F03B20
Los Pinos,Rural,81,#F03B20
Los Álamos,Rural,43,#FD8D3C
San Joaquín,Periurbano,76,#F03B20
La Primavera,Periurbano,15,#FFFFB2
Plaza del Valle,Rural,32,#FECC5C
